tingkat,jenjang,mapel_id,ki_id,kode_kd,teks_kd,sekolah_id
3,sd,pabp,4,4.5,"Mencontohkan perilaku tawaduk, ikhlas, dan mohon pertolongan.",
3,sd,pabp,1,1.8,Menjalankan shalat dengan tertib.,
3,sd,pabp,1,1.10,Menjalankan ibadah shalat dengan tertib.,
3,sd,pabp,2,2.8,Menunjukkan sikap hidup tertib sebagai implementasi pemahaman makna ibadah shalat.,
3,sd,pabp,2,2.10,Menunjukkan perilaku kerja sama sebagai implementasi pemahaman hikmah ibadah shalat.,
3,sd,pabp,3,3.8,Memahami makna shalat sebagai wujud dari pemahaman Q.S. Al-Kau ar.,
3,sd,pabp,3,3.10,Memahami hikmah ibadah shalat melalui pengamatandan pengalaman di rumah dan sekolah.,
3,sd,pabp,4,4.8,Menunjukkan contoh makna shalat sebagai wujud dari pemahaman Q.S. Al-Kau ar.,
3,sd,pabp,4,4.10,Menceritakan pengalaman hikmah pelaksanaan ibadah shalat di rumah dan sekolah.,
3,sd,pabp,1,1.11,Meyakini kebenaran kisah NabiYusuf a.s.,
3,sd,pabp,1,1.12,Meyakini kebenaran kisah Nabi Syuaib a.s.,
3,sd,pabp,2,2.11,Menunjukkan sikap pemaaf sebagai implementasi pemahaman kisah Nabi Yusuf a.s.,
3,sd,pabp,2,2.12,Menunjukkan sikap jujur sebagai implementasi pemahaman kisah keteladanan Nabi Syuaib a.s.,
3,sd,pabp,3,3.11,Memahami kisah keteladanan Nabi Yusuf a.s.,
3,sd,pabp,3,3.12, Memahami kisah keteladanan Nabi Syuaib a.s.,
3,sd,pabp,4,4.11, Menceritakan kisah keteladanan Nabi Yusuf a.s.,
3,sd,pabp,4,4.12, Menceritakan kisah keteladanan Nabi Syuaib a.s.,
3,sd,pabp,1,1.5," Meyakini bahwa perilaku tawaduk, ikhlas, dan mohon pertolongan sebagai cerminan dari iman.",
3,sd,pabp,2,2.5," Menunjukkan perilaku tawaduk, ikhlas, dan mohon pertolongan.",
3,sd,pabp,3,3.5," Memahami perilaku tawaduk, ikhlas, dan mohon pertolongan.",
3,sd,pabp,4,4.5," Mencontohkan perilaku tawaduk, ikhlas, dan mohon pertolongan.",
3,sd,pabp,1,1.1,Terbiasa membaca Alquran dengan tartil.,
3,sd,pabp,2,2.1,Menunjukkan sikap peduli terhadap sesama sebagai implementasi pemahaman Q.S. An-Nasr dan Q.S. Al-Kausar.,
3,sd,pabp,3,3.1,Memahami makna Q.S. An-Nasr dan Q.S. Al-Kausar.,
3,sd,pabp,4,4.1.1,Membaca kalimat-kalimat dalam Q.S. An-Nasr dan Q.S. Al-Kausar dengan benar.,
3,sd,pabp,4,4.1.2,Menuliskan kalimat-kalimat dalam Q.S. An-Nasr dan Q.S. Al-Kausar dengan benar.,
3,sd,pabp,4,4.1.3,Menunjukkan hafalan Q.S.An-Nasr dan Q.S. Al-Kausar dengan lancar.,
3,sd,pabp,1,1.4,"Meyakini adanya Allah Swt. Yang Maha Pemberi, Maha Mengetahui, dan Maha Mendengar.",
3,sd,pabp,2,2.4,"Menunjukkan sikap peduli, berbuat baik, dan berhati-hati sebagai implementasi pemahaman al asmau al-husna: Al-Wahhab,Al-‘Alim, dan As-Sami’.",
3,sd,pabp,3,3.4,"Memahami makna al-asmau al- husna: Al-Wahhab, Al-‘Alim, dan As-Sami’.",
3,sd,pabp,4,4.4,"Membaca al-asmau al-husna: Al Wahhab, Al-‘Alim, dan As-Sami’ dengan jelas dan benar.",
3,sd,pabp,1,1.7,Menerima dan mensyukuri nikmat Allah Swt. yang diberikan kepada makhluknya.,
3,sd,pabp,2,2.7,Menunjukkan sikap bersyukur.,
3,sd,pabp,3,3.7,Memahami sikap bersyukur.,
3,sd,pabp,4,4.7,Mencontohkan sikap bersyukur.,
3,sd,pabp,1,1.9,Menerima makna zikir dan doa setelah shalat sebagai wujud berserah diri kepada Allah Swt.,
3,sd,pabp,2,2.9,Menunjukkan sikap rendah hati sebagai implementasi pemahaman makna zikir dan doa setelah shalat.,
3,sd,pabp,3,3.9,Memahami makna zikir dan doa setelah shalat.,
3,sd,pabp,4,4.9,Mempraktikkan tata cara zikir dan doa setelah shalat di rumah dan sekolah.,
3,sd,pabp,1,1.13,Meyakini kebenaran Nabi Ibrahim a.s. dan Nabi Ismail a.s.,
3,sd,pabp,2,2.13,"Menunjukkan sikap rasa ingin tahu, sabar, rela berkorban, hormat dan patuh kepada orang tua sebagai implementasi pemahaman kisah keteladanan Nabi Ibrahim a.s. dan Nabi Ismail a.s.",
3,sd,pabp,3,3.13,Memahami kisah keteladanan Nabi Ibrahim a.s. dan Nabi Ismail a.s.,
3,sd,pabp,4,4.13,Menceritakan kisah keteladanan Nabi Ibrahim a.s. dan Nabi Ismail a.s,
