"tingkat","jenjang","mapel_id","ki_id","kode_kd","teks_kd","sekolah_id"
"5","sd","pabp","4","4.8","Mencontohkan sikap sederhana dalam kehidupan sehari-hari.",
"5","sd","pabp","4","4.9","Mencontohkan sikap ikhlas beramal dalam kehidupan sehari-hari.",
"5","sd","pabp","1","1.11","Menjalankan shalat Tarawih dan tadarus Al-Qur'an di bulan Ramadan sebagai wujud ketaatan kepada Allah dan rasul-Nya.",
"5","sd","pabp","2","2.11","Menunjukkan sikap tekun sebagai implementasi pemahaman pelaksanaan shalat Tarawih dan tadarus Al-Qur'an.",
"5","sd","pabp","3","3.11","Memahami pelaksanaan shalat Tarawih dan tadarus Al-Qur'an.",
"5","sd","pabp","4","4.11","Mempraktikkan tata cara shalat Tarawih dan tadarus Al-Qur'an.",
"5","sd","pabp","1","1.17","Meyakini kebenaran kisah Luqman sebagaimana terdapat dalam Al-Qur'an.",
"5","sd","pabp","2","2.17","Menunjukkan sikap rendah hati sebagai implementasi pemahaman kisah keteladanan Luqman sebagaimana terdapat dalam Al-Qur'an.",
"5","sd","pabp","3","3.17","Memahami kisah keteladanan Luqman sebagaimana terdapat dalam Al-Qur'an.",
"5","sd","pabp","4","4.17","Menceritakan kisah keteladanan Luqman sebagaimana terdapat dalam Al-Qur'an.",
