"tingkat","jenjang","mapel_id","ki_id","kode_kd","teks_kd","sekolah_id"
"5","sd","pabp","2","2.5","Menunjukkan perilaku hormat dan patuh kepada orang tua, guru, dan sesama anggota keluarga.",
"5","sd","pabp","2","2.6","Menunjukkan sikap toleransi dan simpatik terhadap sesama.",
"5","sd","pabp","3","3.5","Memahami perilaku hormat dan patuh kepada orang tua, guru, dan sesama anggota keluarga.",
"5","sd","pabp","3","3.6","Memahami sikap toleran dan simpatik terhadap sesama sebagai wujud dari pemahaman Q.S. Al-Kafirun.",
"5","sd","pabp","4","4.5","Mencontohkan perilaku hormat dan patuh kepada orang tua, guru, dan sesama anggota keluarga.",
"5","sd","pabp","4","4.6","Menunjukkan sikap toleran dan simpatik terhadap sesama sebagai wujud dari pemahaman Q.S. Al-Kafirun.",
"5","sd","pabp","1","1.7","Menjalankan kewajiban berzakat sebagai implementasi pemahaman rukun Islam.",
"5","sd","pabp","2","2.7","Menunjukkan sikap peduli sebagai implementasi pemahaman hikmah zakat, infak, dan sedekah sebagai implementasi rukun Islam.",
"5","sd","pabp","3","3.7","Memahami hikmah zakat, infak, dan sedekah sebagai implementasi rukun Islam.",
"5","sd","pabp","4","4.7","Menunjukkan hikmah zakat, infak, dan sedekah sebagai implementasi rukun Islam",
"5","sd","pabp","1","1.8","Meyakini kebenaran kisah Nabi Yunus a.s.",
"5","sd","pabp","1","1.9","Meyakini kebenaran kisah Nabi Zakariya a.s.",
"5","sd","pabp","1","1.10","Meyakini kebenaran kisah Nabi Yahya a.s.",
"5","sd","pabp","1","1.11","Meyakini kebenaran kisah Nabi Isa a.s.",
"5","sd","pabp","1","1.14","Meyakini kebenaran kisah Ashabul Kahfi sebagaimana terdapat dalam Al-Qur'an.",
"5","sd","pabp","2","2.8"," Menunjukkan sikap tanggung jawab sebagai implementasi pemahaman kisah keteladanan Nabi Yunus a.s.",
"5","sd","pabp","2","2.9","Menunjukkan sikap kasih sayang sebagai implementasi pemahaman kisah keteladanan Nabi Zakariya a.s.",
"5","sd","pabp","2","2.10","Menunjukkan sikap patuh dan taat sebagai implementasi pemahaman kisah keteladanan Nabi Yahya a.s.",
"5","sd","pabp","2","2.11","Menunjukkan sikap peduli sebagai implementasi pemahaman kisah keteladanan Nabi Isa a.s.",
"5","sd","pabp","2","2.14","Menunjukkan sikap teguh pendirian sebagai implementasi pemahaman kisah keteladanan Ashabul Kahfi sebagaimana terdapat dalam Al-Qur'an.",
"5","sd","pabp","3","3.8","Memahami kisah keteladanan Nabi Yunus a.s.",
"5","sd","pabp","3","3.9","Memahami kisah keteladanan Nabi Zakariya a.s.",
"5","sd","pabp","3","3.10","Memahami kisah keteladanan Nabi Yahya a.s.",
"5","sd","pabp","3","3.11","Memahami kisah keteladanan Nabi Isa a.s.",
"5","sd","pabp","3","3.14","Memahami kisah keteladanan Ashabul Kahfi sebagaimana terdapat dalam Al-Qur'an.",
"5","sd","pabp","4","4.8","Menceritakan kisah keteladanan Nabi Yunus a.s.",
"5","sd","pabp","4","4.9","Menceritakan kisah keteladanan Nabi Zakariya a.s.",
"5","sd","pabp","4","4.10","Menceritakan kisah keteladanan Nabi Yahya a.s.",
"5","sd","pabp","4","4.11","Menceritakan kisah keteladanan Nabi Isa a.s.",
"5","sd","pabp","4","4.14","Menceritakan kisah keteladanan Ashabul Kahfi sebagaimana terdapat dalam Al-Qur'an.",
